time,capital,peak,drawdown
2024-09-13 18:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-13 19:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-13 20:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-13 21:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-13 22:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-13 23:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 00:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 01:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 02:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 03:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 04:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 05:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 06:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 07:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 08:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 09:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 10:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 11:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 12:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 13:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 14:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 15:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 16:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 17:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 18:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 19:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 20:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 21:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 22:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-14 23:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 00:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 01:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 02:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 03:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 04:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 05:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 06:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 07:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 08:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 09:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 10:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 11:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 12:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 13:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 14:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 15:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 16:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 17:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 18:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 19:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 20:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 21:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 22:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-15 23:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-16 00:00:00,105.38286299392026,108.72135399675065,3.0706856381959446
2024-09-16 01:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 02:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 03:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 04:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 05:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 06:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 07:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 08:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 09:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 10:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 11:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 12:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 13:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 14:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 15:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 16:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 17:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 18:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 19:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 20:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 21:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 22:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-16 23:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 00:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 01:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 02:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 03:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 04:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 05:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 06:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 07:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 08:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 09:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 10:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 11:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 12:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 13:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 14:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 15:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 16:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 17:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 18:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 19:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 20:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 21:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 22:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-17 23:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 00:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 01:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 02:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 03:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 04:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 05:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 06:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 07:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 08:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 09:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 10:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 11:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 12:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 13:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 14:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 15:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 16:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 17:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 18:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 19:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 20:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 21:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 22:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-18 23:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 00:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 01:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 02:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 03:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 04:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 05:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 06:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 07:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 08:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 09:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 10:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 11:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 12:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 13:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 14:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 15:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 16:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 17:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 18:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 19:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 20:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 21:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 22:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-19 23:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 00:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 01:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 02:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 03:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 04:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 05:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 06:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 07:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 08:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 09:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 10:00:00,103.48597146002969,108.72135399675065,4.81541329670842
2024-09-20 11:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 12:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 13:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 14:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 15:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 16:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 17:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 18:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 19:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 20:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 21:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 22:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-20 23:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 00:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 01:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 02:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 03:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 04:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 05:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 06:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 07:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 08:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 09:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 10:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 11:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 12:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 13:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 14:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 15:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 16:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 17:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 18:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 19:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 20:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 21:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 22:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-21 23:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-22 00:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-22 01:00:00,107.27870604856484,108.72135399675065,1.3269223525572762
2024-09-22 02:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 03:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 04:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 05:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 06:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 07:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 08:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 09:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 10:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 11:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 12:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 13:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 14:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 15:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 16:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 17:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 18:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 19:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 20:00:00,108.72454267983241,108.72454267983241,0.0
2024-09-22 21:00:00,108.72454267983241,108.72454267983241,0.0
